,Country,Region,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
31,Colombia,Latin America and Caribbean,6.124800205230713,6.229346752166748,6.020253658294678,2.286151885986328,0.9853253960609436,1.409684181213379,0.8412661552429199,0.4696449637413025,0.09864731878042221,0.03412789851427078
32,Thailand,Southeastern Asia,6.007999897003174,6.10270357131958,5.913296222686768,1.777231216430664,1.04970121383667,1.4088245630264282,0.8281006217002869,0.5571662783622742,0.35897156596183777,0.02799343317747116
33,Saudi Arabia,Middle East and Northern Africa,6.37470006942749,6.481081485748291,6.2683186531066895,2.168886661529541,1.402893304824829,1.3565410375595093,0.7952243685722351,0.4386911988258362,0.08038341253995895,0.13205945491790771
34,Spain,Western Europe,6.354100227355957,6.431950092315674,6.27625036239624,1.9285039901733398,1.2857856750488281,1.4844331741333008,1.0618714094161987,0.3620932698249817,0.15289579331874847,0.07856526225805283
35,Malta,Western Europe,6.725599765777588,6.809556484222412,6.641643047332764,1.8163161277770996,1.299941062927246,1.5196890830993652,0.9993114471435547,0.5642937421798706,0.37533625960350037,0.15072160959243774
36,Kuwait,Middle East and Northern Africa,6.020699977874756,6.147952556610107,5.893447399139404,1.6613402366638184,1.500259280204773,1.3188837766647339,0.8083446621894836,0.49278125166893005,0.14165779948234558,0.09740151464939117
37,Trinidad and Tobago,Latin America and Caribbean,6.19189977645874,6.4162187576293945,5.967580795288086,2.0814523696899414,1.2305561304092407,1.476664662361145,0.7128532528877258,0.4894265830516815,0.1852560192346573,0.01565060019493103
38,El Salvador,Latin America and Caribbean,6.2530999183654785,6.3622565269470215,6.1439433097839355,2.830937385559082,0.7942483425140381,1.2416069507598877,0.7887281179428101,0.4301576018333435,0.0930846557021141,0.07437843084335327
39,Guatemala,Latin America and Caribbean,6.436200141906738,6.549149990081787,6.3232502937316895,2.832901954650879,0.8002575039863586,1.2694772481918335,0.7457913160324097,0.5348055958747864,0.17511150240898132,0.07783634960651398
40,Uzbekistan,Central and Eastern Europe,6.174099922180176,6.279376029968262,6.06882381439209,1.950984001159668,0.7451186180114746,1.5290998220443726,0.7557034492492676,0.6312456727027893,0.32211077213287354,0.239857479929924
41,Slovakia,Central and Eastern Europe,6.1975998878479,6.275430202484131,6.11976957321167,2.0971827507019043,1.2462291717529297,1.5043426752090454,0.8807506561279297,0.334179162979126,0.1209203228354454,0.014040469191968441
42,Japan,Eastern Asia,5.886099815368652,5.970136642456055,5.80206298828125,1.3987269401550293,1.3265050649642944,1.4185972213745117,1.0882177352905273,0.4449595510959625,0.06885261833667755,0.14021578431129456
43,South Korea,Eastern Asia,5.894700050354004,5.984496116638184,5.804903984069824,1.9488699436187744,1.3009988069534302,1.2191898822784424,1.035575270652771,0.15930020809173584,0.1746971160173416,0.056033141911029816
44,Ecuador,Latin America and Caribbean,6.027599811553955,6.130075454711914,5.925124168395996,2.225114345550537,0.9117922782897949,1.312105655670166,0.8675758242607117,0.49750596284866333,0.12623615562915802,0.08726285398006439
45,Bahrain,Middle East and Northern Africa,6.199399948120117,6.323913097381592,6.074886798858643,1.6980762481689453,1.361810564994812,1.3675589561462402,0.8710972666740417,0.5356967449188232,0.2549803853034973,0.11014357209205627
46,Italy,Western Europe,6.223400115966797,6.305873870849609,6.140926361083984,1.9835305213928223,1.294424057006836,1.4880201816558838,1.0388253927230835,0.2307824343442917,0.15796099603176117,0.029857875779271126
47,Bolivia,Latin America and Caribbean,5.779300212860107,5.875899791717529,5.6827006340026855,2.3755860328674316,0.7756845951080322,1.2091937065124512,0.7062997221946716,0.5114901065826416,0.13656088709831238,0.06444940716028214
48,Moldova,Central and Eastern Europe,5.528500080108643,5.604431629180908,5.452568531036377,2.3500092029571533,0.6853842735290527,1.3279919624328613,0.7392638921737671,0.24526801705360413,0.18054655194282532,0.0
49,Paraguay,Latin America and Caribbean,5.742700099945068,5.83719539642334,5.648204803466797,1.8573009967803955,0.8554667830467224,1.475348949432373,0.776505172252655,0.5141760110855103,0.1836930364370346,0.08024150878190994
50,Kazakhstan,Central and Eastern Europe,5.808800220489502,5.890469074249268,5.727131366729736,1.7463464736938477,1.1734730005264282,1.507715106010437,0.7293683886528015,0.40985462069511414,0.1457512229681015,0.0963137149810791
51,Slovenia,Central and Eastern Europe,6.117700099945068,6.209365367889404,6.026034832000732,1.618016242980957,1.25789213180542,1.5231517553329468,0.9532179236412048,0.5638929605484009,0.1442801058292389,0.05722572281956673
52,Lithuania,Central and Eastern Europe,6.14900016784668,6.2355265617370605,6.062473773956299,2.201612949371338,1.2382112741470337,1.5152732133865356,0.8180915117263794,0.29139992594718933,0.042640890926122665,0.04181194305419922
53,Nicaragua,Latin America and Caribbean,6.105000019073486,6.21845817565918,5.991541862487793,2.4903507232666016,0.6938825249671936,1.3245289325714111,0.834705114364624,0.43462619185447693,0.19950640201568604,0.12738105654716492
54,Peru,Latin America and Caribbean,5.6971001625061035,5.811408042907715,5.582792282104492,2.043782949447632,0.9598020911216736,1.2736916542053223,0.8544495105743408,0.4545309543609619,0.08342034369707108,0.02738592028617859
55,Belarus,Central and Eastern Europe,5.322500228881836,5.392422199249268,5.252578258514404,1.5308034420013428,1.0670274496078491,1.465442180633545,0.7886686325073242,0.23486590385437012,0.09413253515958786,0.14159302413463593
56,Poland,Central and Eastern Europe,6.181700229644775,6.2692461013793945,6.094154357910156,2.0032095909118652,1.2059355974197388,1.4384797811508179,0.8840746283531189,0.48274946212768555,0.11674395203590393,0.050494518131017685
57,Malaysia,Southeastern Asia,5.338799953460693,5.4612321853637695,5.216367721557617,1.326406478881836,1.220589518547058,1.171200156211853,0.8280950784683228,0.5081673264503479,0.2600628435611725,0.024296320974826813
58,Croatia,Central and Eastern Europe,5.43179988861084,5.509877681732178,5.353722095489502,1.6599085330963135,1.1546821594238281,1.265782356262207,0.9137881994247437,0.29615768790245056,0.11942384392023087,0.022072920575737953
59,Libya,Middle East and Northern Africa,5.525300025939941,5.646263122558594,5.404336929321289,1.8039615154266357,1.0440441370010376,1.3032504320144653,0.6733417510986328,0.41611817479133606,0.13269013166427612,0.151876762509346
60,Russia,Central and Eastern Europe,5.647900104522705,5.712582111358643,5.583218097686768,1.8391602039337158,1.1831088066101074,1.4523704051971436,0.7261030673980713,0.3342813551425934,0.08204805850982666,0.030859721824526787
61,Jamaica,Latin America and Caribbean,5.889800071716309,6.126157283782959,5.653442859649658,2.124685049057007,0.8312550187110901,1.4776520729064941,0.8313876986503601,0.48961445689201355,0.10692114382982254,0.028243694454431534
62,North Cyprus,Western Europe,5.717700004577637,5.818994522094727,5.616405487060547,1.3903002738952637,1.2631559371948242,1.2519549131393433,1.0421561002731323,0.4174818992614746,0.19066785275936127,0.1619376242160797
63,Cyprus,Western Europe,6.04580020904541,6.149438381195068,5.942162036895752,1.8804798126220703,1.2631559371948242,1.223085880279541,1.0421561002731323,0.4058070778846741,0.1904820203781128,0.0406218059360981
64,Algeria,Middle East and Northern Africa,5.211299896240234,5.303558349609375,5.119041442871094,1.9923069477081299,1.00151526927948,1.1596182584762573,0.7852815985679626,0.0855325385928154,0.07264181226491928,0.11442774534225464
65,Kosovo,Central and Eastern Europe,6.099999904632568,6.199129581451416,6.000870227813721,2.4689886569976807,0.8823586106300354,1.232447624206543,0.7582644820213318,0.48946723341941833,0.26200753450393677,0.006446279119700193
66,Turkmenistan,Central and Eastern Europe,5.246699810028076,5.302095890045166,5.191303730010986,1.3337080478668213,1.051551342010498,1.538314938545227,0.6568554639816284,0.39448338747024536,0.24405889213085175,0.027744973078370094
67,Mauritius,Sub-Saharan Africa,5.888199806213379,5.991206169128418,5.78519344329834,1.7953605651855469,1.119823694229126,1.4016612768173218,0.7984387874603271,0.4981207847595215,0.21530240774154663,0.05952916666865349
68,Estonia,Central and Eastern Europe,5.893499851226807,5.965447425842285,5.821552276611328,1.49564790725708,1.2368276119232178,1.5278337001800537,0.8742032051086426,0.4951566159725189,0.10305261611938477,0.16081750392913818
69,Indonesia,Southeastern Asia,5.192399978637695,5.2999267578125,5.084873199462891,1.3817558288574219,0.9305909872055054,1.2026041746139526,0.6602177619934082,0.4906190037727356,0.49813446402549744,0.02848736196756363
70,Vietnam,Southeastern Asia,5.175300121307373,5.247281551361084,5.103318691253662,1.473780870437622,0.7407770156860352,1.3462165594100952,0.8510029315948486,0.542799174785614,0.1474352777004242,0.0732409730553627
71,Turkey,Middle East and Northern Africa,5.372600078582764,5.465527534484863,5.279672622680664,1.6359405517578125,1.1834851503372192,1.3604251146316528,0.8083620071411133,0.1948610097169876,0.08344929665327072,0.10605128854513168
72,Kyrgyzstan,Central and Eastern Europe,5.260700225830078,5.34793758392334,5.173462867736816,1.7189805507659912,0.550570547580719,1.4378741979599,0.7226740717887878,0.5077597498893738,0.30006030201911926,0.022747870534658432
73,Nigeria,Sub-Saharan Africa,5.264599800109863,5.389429569244385,5.139770030975342,2.529876708984375,0.6964234709739685,1.1110408306121826,0.24514655768871307,0.4260052442550659,0.21532602608203888,0.04082430899143219
74,Bhutan,Southern Asia,5.082099914550781,5.195562839508057,4.968636989593506,1.349649429321289,0.8132838606834412,1.320763111114502,0.6041966676712036,0.45654451847076416,0.3704829514026642,0.16720789670944214
75,Azerbaijan,Central and Eastern Europe,5.207699775695801,5.278987407684326,5.136412143707275,1.6796190738677979,1.0428029298782349,1.1473350524902344,0.7688729763031006,0.35147228837013245,0.035471923649311066,0.18213945627212524
76,Pakistan,Southern Asia,5.6529998779296875,5.731922626495361,5.574077129364014,2.923630714416504,0.6765211820602417,0.8862724900245667,0.5350227355957031,0.31326666474342346,0.2203739732503891,0.09790364652872086
77,Jordan,Middle East and Northern Africa,4.905700206756592,5.019051551818848,4.792348861694336,1.4061009883880615,0.8370177149772644,1.2246304750442505,0.814932107925415,0.3830856382846832,0.10985977202653885,0.13003258407115936
78,Montenegro,Central and Eastern Europe,5.522900104522705,5.620594501495361,5.425205707550049,1.8215599060058594,1.0505534410476685,1.360719084739685,0.8708985447883606,0.1969366818666458,0.14225153625011444,0.07995326817035675
79,China,Eastern Asia,5.190899848937988,5.240388870239258,5.141410827636719,1.46567702293396,1.0285098552703857,1.1247637271881104,0.8933248519897461,0.5211744904518127,0.05779021233320236,0.09961812943220139
80,Zambia,Sub-Saharan Africa,4.106599807739258,4.23199462890625,3.9812049865722656,1.2803528308868408,0.577597975730896,1.058080792427063,0.4263775646686554,0.4305284321308136,0.2471141368150711,0.086555615067482
81,Romania,Central and Eastern Europe,6.069699764251709,6.163336277008057,5.976063251495361,2.3020308017730713,1.1618489027023315,1.2315031290054321,0.8247902393341064,0.4621591866016388,0.08263394981622696,0.004778970032930374
82,Serbia,Central and Eastern Europe,5.603000164031982,5.705298900604248,5.500701427459717,1.9041647911071777,1.0038105249404907,1.3829600811004639,0.8543645739555359,0.28237348794937134,0.13676799833774567,0.03859962522983551
83,Portugal,Western Europe,5.692500114440918,5.79217004776001,5.592830181121826,1.4617233276367188,1.220729947090149,1.4308034181594849,0.999308705329895,0.508114755153656,0.046816758811473846,0.024964742362499237
84,Latvia,Central and Eastern Europe,5.939700126647949,6.010756492614746,5.868643760681152,2.073392868041992,1.1868281364440918,1.464707374572754,0.8116096258163452,0.26440346240997314,0.07492352277040482,0.06386328488588333
85,Philippines,Southeastern Asia,5.631400108337402,5.743813991546631,5.518986225128174,2.0921361446380615,0.8073626160621643,1.2925689220428467,0.656877875328064,0.5581836700439453,0.1172821968793869,0.1070081815123558
86,Morocco,Middle East and Northern Africa,5.208099842071533,5.30840539932251,5.107794284820557,2.3139874935150146,0.801193356513977,0.7820053100585938,0.781668484210968,0.4176056683063507,0.0356006994843483,0.07608455419540405
87,Macedonia,Central and Eastern Europe,5.273600101470947,5.364760398864746,5.182439804077148,1.5950677394866943,0.983121395111084,1.2939188480377197,0.8379313945770264,0.3448500633239746,0.18477611243724823,0.033954691141843796
88,Mozambique,Sub-Saharan Africa,4.46619987487793,4.642301559448242,4.290098190307617,2.0579347610473633,0.20364461839199066,0.9856621623039246,0.39012670516967773,0.49375003576278687,0.19734860956668854,0.13776154816150665
89,Albania,Central and Eastern Europe,4.718599796295166,4.829272747039795,4.607926845550537,1.4610018730163574,0.9471011161804199,0.8476807475090027,0.8742084503173828,0.3833390176296234,0.17815889418125153,0.027083948254585266
90,Bosnia and Herzegovina,Central and Eastern Europe,5.386499881744385,5.477275848388672,5.295723915100098,1.9045743942260742,0.9450775384902954,1.2116062641143799,0.8445622324943542,0.21231631934642792,0.2628892660140991,0.005522997584193945
91,Lesotho,Sub-Saharan Africa,3.8018999099731445,3.9627392292022705,3.6410605907440186,1.416886568069458,0.48894408345222473,1.1690101623535156,0.167731374502182,0.35864508152008057,0.10737446695566177,0.09326881170272827
